x,y,z,dx,dy,dz,Epoch
5186.66674830537,4532.94814920707,595.756955570134,-4.18091791505329,5.25484010306843,-3.55275260259187,2021-03-30T00:00:00.000
4924.72359678254,4838.16061820476,381.448400382655,-4.54735474824053,4.91522495831436,-3.58827027998844,2021-03-30T00:01:00.000
4641.37976255108,5122.34818610922,165.477329021758,-4.89401525902525,4.55426497032469,-3.60814990893601,2021-03-30T00:02:00.000
4337.86751205885,5384.27695152889,-51.2150747958373,-5.21939153735995,4.1735346852929,-3.6123061644119,2021-03-30T00:03:00.000
4015.50681349914,5622.81010178138,-267.684572427814,-5.52206931367881,3.77469467351006,-3.6007228071065,2021-03-30T00:04:00.000
3675.69952754388,5836.91285218666,-482.988027559258,-5.80073399283277,3.35948403185228,-3.57345261209385,2021-03-30T00:05:00.000
3319.92325360648,6025.65693111101,-696.187536751483,-6.05417637676158,2.92971274699979,-3.530617205133,2021-03-30T00:06:00.000
2949.72485363209,6188.22458677648,-906.354539331169,-6.28129800703435,2.48725352575619,-3.47240637973538,2021-03-30T00:07:00.000
2566.71364892415,6323.91210421784,-1112.5738866105,-6.48111580175416,2.03403333025159,-3.39907698566224,2021-03-30T00:08:00.000
2172.55438999231,6432.13279980303,-1313.94781564106,-6.65276608114034,1.57202501813818,-3.31095163166423,2021-03-30T00:09:00.000
1768.95996744282,6512.41952669287,-1509.59985943684,-6.79550818311687,1.10323869177948,-3.20841723705096,2021-03-30T00:10:00.000
1357.68395243791,6564.4266461816,-1698.67865484571,-6.9087272978195,0.629713197417169,-3.09192341084823,2021-03-30T00:11:00.000
940.512955299727,6587.93149720857,-1880.36165304647,-6.99193762391243,0.153507391132542,-2.9619807852989,2021-03-30T00:12:00.000
519.258792470602,6582.83530931302,-2053.858719651,-7.04478473230665,-0.323309554633871,-2.81915860896399,2021-03-30T00:13:00.000
95.7505785310152,6549.16353321977,-2218.41555964835,-7.06704668279665,-0.798667649730547,-2.66408184335811,2021-03-30T00:14:00.000
-328.173235234441,6487.06561545617,-2373.31696823452,-7.05863431577934,-1.27050514162443,-2.49742808126447,2021-03-30T00:15:00.000
-750.672835576037,6396.81424119603,-2517.88990160987,-7.01959110339603,-1.73677721176858,-2.31992447794816,2021-03-30T00:16:00.000
-1169.91497881832,6278.80407289062,-2651.50635085897,-6.95009279930483,-2.19546427683297,-2.13234461478173,2021-03-30T00:17:00.000
-1584.08092721367,6133.5499711356,-2773.58603881545,-6.85044671588328,-2.64458066753707,-1.93550528662429,2021-03-30T00:18:00.000
-1991.37429047738,5961.68469910561,-2883.5989001141,-6.72109016543992,-3.08218340377522,-1.73026286589739,2021-03-30T00:19:00.000
-2390.02875585855,5763.95611475608,-2981.06734346403,-6.56258816317712,-3.50638046529053,-1.51750956516519,2021-03-30T00:20:00.000
-2778.31567780874,5541.22386293626,-3065.56829520195,-6.37563066687251,-3.9153388241161,-1.29816955365782,2021-03-30T00:21:00.000
-3154.55148181329,5294.45561008095,-3136.73497821804,-6.1610293796712,-4.30729201081792,-1.07319468468576,2021-03-30T00:22:00.000
-3517.10481755441,5024.7228362026,-3194.25844338635,-5.91971255536748,-4.68054680558693,-0.843559927120443,2021-03-30T00:23:00.000
-3864.40347779558,4733.19637320424,-3237.88891546827,-5.6527241738613,-5.03348583039035,-0.610263074039884,2021-03-30T00:24:00.000
-4194.94140872397,4421.14142371183,-3267.437057825,-5.36122360105828,-5.36458357346768,-0.374318752258529,2021-03-30T00:25:00.000
-4507.28524411104,4089.91182162307,-3282.77467208929,-5.04647308245972,-5.67241082458093,-0.136749970677431,2021-03-30T00:26:00.000
-4800.08034230838,3740.94420005102,-3283.8351518458,-4.70983389292624,-5.95563781404723,0.101413900930066,2021-03-30T00:27:00.000
-5072.05658026686,3375.75185549585,-3270.61372980167,-4.35276113107501,-6.21303989475222,0.339141489405832,2021-03-30T00:28:00.000
-5322.03381838796,2995.91826229132,-3243.16751562207,-3.97679806466138,-6.44350349565016,0.57540222078112,2021-03-30T00:29:00.000
-5548.92695962214,2603.09021879037,-3201.61529058618,-3.58356796106766,-6.64603187169262,0.809171964744195,2021-03-30T00:30:00.000
